Date,Adj Close,Virus,Flu,Vaccine
2010-11-01,24.536119,5,12,13
2010-12-01,25.653662,5,16,9
2011-01-01,23.86272,5,18,12
2011-02-01,23.431076,5,13,12
2011-03-01,23.747612,5,9,13
2011-04-01,26.164883,5,7,12
2011-05-01,26.747124,5,5,13
2011-06-01,25.684523,5,5,12
2011-07-01,25.109413,4,5,12
2011-08-01,24.351646,4,5,13
2011-09-01,24.057362,4,9,17
2011-10-01,25.686649,4,13,17
2011-11-01,26.617332,4,11,15
2011-12-01,28.069189,5,10,12
2012-01-01,28.835596,4,9,13
2012-02-01,28.760241,4,10,13
2012-03-01,28.933544,4,9,12
2012-04-01,29.896027,4,7,14
2012-05-01,28.631311,4,6,15
2012-06-01,31.808348,4,5,14
2012-07-01,34.019859,6,6,16
2012-08-01,33.157234,7,6,16
2012-09-01,34.736145,6,10,17
2012-10-01,35.478973,4,14,17
2012-11-01,34.44487,4,12,15
2012-12-01,31.832338,4,18,13
2013-01-01,33.951008,4,38,19
2013-02-01,33.542812,4,15,13
2013-03-01,34.696754,4,10,13
2013-04-01,37.250374,4,10,14
2013-05-01,37.0126,4,6,14
2013-06-01,36.814472,4,5,15
2013-07-01,38.528301,4,5,14
2013-08-01,37.824429,4,6,16
2013-09-01,38.080387,4,10,19
2013-10-01,36.389828,4,16,20
2013-11-01,40.21524,4,13,17
2013-12-01,40.392792,4,15,14
2014-01-01,43.137131,4,25,17
2014-02-01,46.410885,4,13,14
2014-03-01,46.231728,4,10,14
2014-04-01,48.061684,4,8,16
2014-05-01,47.487179,4,7,15
2014-06-01,47.478973,3,6,15
2014-07-01,46.919006,4,5,15
2014-08-01,49.705696,7,6,17
2014-09-01,49.019363,6,11,19
2014-10-01,48.26078,11,19,27
2014-11-01,50.309818,4,13,17
2014-12-01,47.302898,4,20,15
2015-01-01,50.58942,4,22,20
2015-02-01,49.129139,4,23,28
2015-03-01,48.239548,4,16,17
2015-04-01,50.389652,3,11,16
2015-05-01,51.51487,3,8,16
2015-06-01,48.164581,3,7,17
2015-07-01,50.261463,3,6,17
2015-08-01,45.905357,3,7,18
2015-09-01,42.103352,3,11,21
2015-10-01,46.996998,3,17,22
2015-11-01,45.57832,3,13,17
2015-12-01,45.414963,3,11,14
2016-01-01,43.942867,6,11,14
2016-02-01,43.54393,8,14,16
2016-03-01,45.885479,5,15,15
2016-04-01,47.975307,5,10,17
2016-05-01,49.217571,4,9,15
2016-06-01,50.398575,4,7,16
2016-07-01,51.73605,4,6,17
2016-08-01,55.378574,5,7,19
2016-09-01,55.043427,4,12,20
2016-10-01,52.168747,3,17,20
2016-11-01,54.363174,3,13,16
2016-12-01,52.302002,3,14,14
2017-01-01,55.496525,3,18,17
2017-02-01,58.970089,3,20,17
2017-03-01,56.884159,3,14,16
2017-04-01,56.203587,3,10,17
2017-05-01,58.710339,3,9,17
2017-06-01,57.790596,3,7,18
2017-07-01,58.02478,3,7,18
2017-08-01,58.006615,3,10,20
2017-09-01,58.161022,3,14,20
2017-10-01,50.402412,3,19,22
2017-11-01,50.567089,3,16,20
2017-12-01,51.482002,3,22,17
2018-01-01,54.669533,3,60,21
2018-02-01,50.028393,3,47,21
2018-03-01,50.259071,3,17,19
2018-04-01,54.793915,3,12,20
2018-05-01,55.408215,3,9,19
2018-06-01,56.497211,2,8,20
2018-07-01,61.783062,2,7,21
2018-08-01,64.334297,3,8,23
2018-09-01,66.53849,3,14,23
2018-10-01,69.513924,3,24,27
2018-11-01,74.925056,2,18,22
2018-12-01,72.158104,2,18,18
2019-01-01,70.781006,3,23,22
2019-02-01,77.304688,3,27,26
2019-03-01,79.092514,3,19,26
2019-04-01,75.359108,2,14,30
2019-05-01,75.837822,2,11,28
2019-06-01,80.280281,2,10,24
2019-07-01,79.987564,2,8,22
2019-08-01,83.341667,3,9,24
2019-09-01,81.134521,3,15,25
2019-10-01,84.079887,3,24,28
2019-11-01,84.584404,2,21,23
2019-12-01,88.242149,3,25,20
2020-01-01,83.46463,11,36,24
2020-02-01,74.789925,20,47,29
2020-03-01,75.16114,100,100,64
2020-04-01,78.145935,38,47,56
2020-05-01,79.505173,15,25,55
2020-06-01,76.166191,10,16,44
2020-07-01,79.660614,9,22,67
2020-08-01,84.654297,6,18,62
2020-09-01,82.351044,5,28,63
2020-10-01,75.209999,5,34,57
2020-11-01,82.510002,5,22,100
