Date,Adj Close,Virus,Flu,Vaccine
2010-11-01,20.508862,5,12,13
2010-12-01,21.657944,5,16,9
2011-01-01,23.122862,5,18,12
2011-02-01,23.237103,5,13,12
2011-03-01,23.66717,5,9,13
2011-04-01,26.55669,5,7,12
2011-05-01,26.617167,5,5,13
2011-06-01,28.29915,5,5,12
2011-07-01,27.298779,4,5,12
2011-08-01,25.763004,4,5,13
2011-09-01,23.107096,4,9,17
2011-10-01,25.185328,4,13,17
2011-11-01,24.664007,4,11,15
2011-12-01,25.741869,5,10,12
2012-01-01,26.157513,4,9,13
2012-02-01,26.087065,4,10,13
2012-03-01,27.298779,4,9,12
2012-04-01,26.897226,4,7,14
2012-05-01,23.973612,4,6,15
2012-06-01,27.912086,4,5,14
2012-07-01,30.025072,6,6,16
2012-08-01,30.254105,7,6,16
2012-09-01,31.812981,6,10,17
2012-10-01,32.396641,4,14,17
2012-11-01,32.965519,4,12,15
2012-12-01,35.004623,4,18,13
2013-01-01,35.965073,4,38,19
2013-02-01,34.879025,4,15,13
2013-03-01,37.738205,4,10,13
2013-04-01,39.415298,4,10,14
2013-05-01,39.223206,4,6,14
2013-06-01,39.373535,4,5,15
2013-07-01,39.350597,4,5,14
2013-08-01,36.522373,4,6,16
2013-09-01,38.700871,4,10,19
2013-10-01,40.879372,4,16,20
2013-11-01,40.382519,4,13,17
2013-12-01,40.994026,4,15,14
2014-01-01,37.378479,4,25,17
2014-02-01,39.625782,4,13,14
2014-03-01,39.962109,4,10,14
2014-04-01,41.123974,4,8,16
2014-05-01,40.741787,4,7,15
2014-06-01,42.122429,3,6,15
2014-07-01,41.409431,4,5,15
2014-08-01,43.33453,7,6,17
2014-09-01,44.705078,6,11,19
2014-10-01,36.632339,11,19,27
2014-11-01,38.25639,4,13,17
2014-12-01,36.133236,4,20,15
2015-01-01,36.513504,4,22,20
2015-02-01,38.707954,4,23,28
2015-03-01,39.167446,4,16,17
2015-04-01,40.04681,3,11,16
2015-05-01,39.143681,3,8,16
2015-06-01,40.546913,3,7,17
2015-07-01,44.198021,3,6,17
2015-08-01,40.04755,3,7,18
2015-09-01,38.860535,3,11,21
2015-10-01,41.210014,3,17,22
2015-11-01,36.199974,3,13,17
2015-12-01,34.914719,3,11,14
2016-01-01,34.087898,6,11,14
2016-02-01,32.376953,8,14,16
2016-03-01,32.87632,5,15,15
2016-04-01,33.645832,5,10,17
2016-05-01,33.727703,4,9,15
2016-06-01,35.700939,4,7,16
2016-07-01,36.366329,4,6,17
2016-08-01,32.817562,5,7,19
2016-09-01,32.578705,4,12,20
2016-10-01,33.17585,3,17,20
2016-11-01,34.293373,3,13,16
2016-12-01,34.498108,3,14,14
2017-01-01,34.788155,3,18,17
2017-02-01,36.792866,3,20,17
2017-03-01,38.601372,3,14,16
2017-04-01,40.350163,3,10,17
2017-05-01,42.303688,3,9,17
2017-06-01,42.210709,3,7,18
2017-07-01,41.726131,3,7,18
2017-08-01,43.030071,3,10,20
2017-09-01,43.867062,3,14,20
2017-10-01,41.655647,3,19,22
2017-11-01,40.210739,3,16,20
2017-12-01,37.884792,3,22,17
2018-01-01,38.704155,3,60,21
2018-02-01,34.580883,3,47,21
2018-03-01,35.312149,3,17,19
2018-04-01,34.642555,3,12,20
2018-05-01,33.717468,3,9,19
2018-06-01,37.033161,2,8,20
2018-07-01,40.133915,2,7,21
2018-08-01,39.661861,3,8,23
2018-09-01,41.346447,3,14,23
2018-10-01,41.392731,3,24,27
2018-11-01,41.975853,2,18,22
2018-12-01,40.180195,2,18,18
2019-01-01,40.21722,3,23,22
2019-02-01,38.504864,3,27,26
2019-03-01,40.985466,3,19,26
2019-04-01,40.476387,2,14,30
2019-05-01,37.421917,2,11,28
2019-06-01,41.721992,2,10,24
2019-07-01,40.20816,2,8,22
2019-08-01,41.413441,3,9,24
2019-09-01,44.67252,3,15,25
2019-10-01,44.431465,3,24,28
2019-11-01,45.009998,2,21,23
2019-12-01,48.404068,3,25,20
2020-01-01,46.543114,11,36,24
2020-02-01,44.595383,20,47,29
2020-03-01,42.155895,100,100,64
2020-04-01,45.154633,38,47,56
2020-05-01,49.110001,15,25,55
2020-06-01,51.049999,10,16,44
2020-07-01,52.450001,9,22,67
2020-08-01,50.580002,6,18,62
2020-09-01,50.169998,5,28,63
2020-10-01,45.299999,5,34,57
2020-11-01,50.200001,5,22,100
